,category,question,answer
28153,general_knowledge,"Who wrote 'i, claudius'",Robert graves
28154,general_knowledge,"What group of minerals are beryl, emerald and aquamarine a part",Beryllium
28155,general_knowledge,With what were scrabble tiles first made,Pocket knife
28156,general_knowledge,Who wrote The Swiss Family Robinson,J r wyss
28157,general_knowledge,What is the name given to Indian food cooked over charcoal in a clay oven,Tandoori
28158,general_knowledge,What country has a Bible on its flag,Dominican Republic
28159,general_knowledge,In the song who told Laura he loved her in 1960,Ricky Valance
28160,general_knowledge,Who was offered the presidency of Israel in 1952 (turned down),Albert Einstein
28161,history,The Song 'White Christmas ' Was' Performed In Which 1942 Film ,Holiday In 
28162,entertainment_music,Which No.1 Hit Was Cliff Richards First Million Seller,Living Doll
28163,general_knowledge,Who hired The Jackal,Oas
28164,general_knowledge,What did joseph smith found,Mormonism
28165,general_knowledge,Sherlock Holmes paid 55 shillings for what,His Stradivarius violin
28166,general_knowledge,Who was the first actor to appear on cover of Time magazine,Charlie Chaplin
28167,general_knowledge,"What kind of gun does the movie's ""dirty harry"" pack",Magnum
28168,general_knowledge,What make of car is a 'thunderbird',Ford
28169,history,Israel occupied the West Bank. It belonged to _______.,Jordan
28170,general_knowledge,What is the study of elections called,Psephology
28171,science_nature," Off the coast of southern California, around 200 __________ still roam in Catalina Island's hinterlands, descendants of a few brought there in the 1920s for a movie and left there.",Bison
28172,general_knowledge,Aromatic plant used for seasoning and salads,Coriander
28173,entertainment_music,Which Country Does The Singer Enya Come From,Ireland
28174,entertainment_music,Which Area Of New York City Was Immortalised In The Dance Song By Bob & Earl,Harlem (Harlem Shuffle)
28175,general_knowledge,What fruit produces a herb,Banana
28176,history,The following is a line from which 1970's film 'It's pronounced Fronkensteen' ? ,Young Frankenstein 
28177,general_knowledge,What country has the longest chairlift in europe,Switzerland
28178,science_nature,What is a male deer called?,Buck
28179,general_knowledge,What is the official title of the ambassador of the Pope,Nuncio
28180,general_knowledge,"Cancha, Cesta, Cinta terms in which sport",Jai Alai - Court Glove Tape
28181,general_knowledge,As what was John F. Kennedy airport formerly known,Idlewild
28182,general_knowledge,In which Puccini opera of 1896 is the Christmas Duet,La boheme
28183,general_knowledge,Relating to food what is porcini a type of,Mushroom
28184,science_nature," At seven inches long, the Wilson's storm petrel is the smallest bird to breed on the __________",Antarctic continent
28185,general_knowledge,The island of Krakatoa was almost completely destroyed by a volcanic eruption in which year,1883
28186,general_knowledge,What was the name of Eddie Murphy's character in Beverly Hills Cop?,Axel Foley
28187,general_knowledge,On which city did Charles Darrow base his original game of Monopoly,Atlantic city
28188,general_knowledge,Where is King Arthur supposed to be resting,Avalon
28189,food,What vegetable did Mark Twain describe as 'Cabbage with a college education'? ,Cauliflower 
28190,general_knowledge,For making what is the abalone shell used,Jewellery
28191,geography,What is the capital of Qatar? ,Doha 
28192,general_knowledge,"In Germany who were known as ""Dick und Doof""",Laurel and Hardy
28193,general_knowledge,What cartoon character had no feathers until the censors decided he 'looked naked',Tweety
28194,general_knowledge,What year did Laurel and Hardy first perform together,1926
28195,general_knowledge,What product only sold 1200 bottles in its first year,Liquid Paper - Tippex
28196,general_knowledge,Troy McClure appears in which cartoon series,The Simpsons
28197,general_knowledge,What French automobile company merged with American Motors,Renault
28198,general_knowledge,"In Save by the Bell,what were Zack and Kelly dressed up as the night they broke up?",Romeo and Juliet
28199,language,This animal is found at the beginning of an (English) encyclopedia,Aardvark
28200,general_knowledge,"In egyptian mythology, who is known as the god of the desert",Ash
28201,general_knowledge,U.S. Captials - Massachusetts,Boston
28202,general_knowledge,"What infamous bank robber was nicknamed ""willie the actor""",Willie sutton
28203,history,Which film first featured a character later named Pinhead ,Hellraiser 
28204,general_knowledge,Specifically to what does Episcopal refer,Bishops
28205,entertainment_music,"Which Beatles album is The Song ""Only A Nothern Song"" on?",Yellow Submarine
28206,science_nature,What is the gestation period of a cow*9 months ,Nine months 
28207,general_knowledge,In which town or city in the north-west is the Ashton memorial,Lancaster
28208,general_knowledge,Who drove a Rolls Royce with a number plate FAB 1,Parker in Thunderbirds
28209,general_knowledge,Numbers What's the capital of Wyoming,Cheyenne
28210,general_knowledge,"Which group sang the song ""Learn To Fly""?",Foo Fighters
28211,general_knowledge,What is an enclosed car hung from a cable at a ski slope,Gondola
28212,general_knowledge,To what is the harvest moon nearest,Autumnal equinox
28213,history,This organization was founded by William Booth.,Salvation army
28214,celebrities,Who was the Director of the C.I.A during 1976-77 ? ,George Bush 
28215,history,"Who wrote the book, that was the basis for the 1982 animated film, 'The Snowman'' ",Raymond Briggs 
28216,entertainment_music,According To The Beatles What color was Lucy's sky?,Marmalade
28217,general_knowledge,What was the number of the squadron which flew the Dambusters mission in 1943,617
28218,general_knowledge,Name the only bird that can swim but can't fly,Penguin
28219,general_knowledge,Which arteries carry blood to the head and neck,Carotid
28220,geography,Which Country Has The Lowest Birthrate ,Italy 
28221,general_knowledge,Which Female Act (Non Solo) Holds The Record For The Most Consecutive Weeks At The Top Of The Uk Singles Chart,Shakespeares Sister
28222,general_knowledge,Which non alcoholic cordial is made from pomegranates,Grenadine
28223,science_nature,The tides on the earth's oceans are actually created by gravitational pull from the ____,Moon
28224,general_knowledge,What stretch of water separates Italy and Sicily,Straights of Messina
28225,general_knowledge,A sufferer from boanthropy believes he is what,An Ox
28226,entertainment_music,Who Had A 1982 Hit With Heartbreaker,Dionne Warwick
28227,general_knowledge,Film title' 'fahrenheit ______',451
28228,general_knowledge,What city hosted the 1976 summer olympics,Montreal
28229,entertainment_music,"Which American Vocal Group Scored Their First UK Top Ten Hit In 1996 With ""We Got It Going On""",Backstreet Boys
28230,food,How Many Gallons In A Firkin ,9 Gallons 
28231,entertainment_music,According To The Beatles What Did “The Girl That's Driving Me Mad” Have,A Ticket To Ride
28232,general_knowledge,Who won the 1959 u.s grand prix,Bruce mclaren
28233,general_knowledge,What is the only part of the human body that cannot repair itself,Teeth
28234,general_knowledge,"Who wrote the novel ""To Kill a Mockingbird""",Harper lee
28235,history,Who gave john f. kennedy a dog named pushinka ,Nikita khrushchev 
28236,food,What is compote? ,Fruit preserved or stewed in syrup
28237,general_knowledge,The longest recorded one lasted 51.5 minutes - what,Tennis rally1029 strokes
28238,general_knowledge,"Who's the voice of ""this week in baseball""",Mel allen
28239,science_nature,What Is The Function Of White Blood Cells ,To Combat Disease And Infection 
28240,general_knowledge,"On Who's Tombstone Will You Find The Words ""She Did It The Hard Way""",Bette Davis
28241,general_knowledge,"In The World Of Sport What First Did ""Uriah D Rennie"" Achieve In 2001",First Black Ref To Dictate A Game
28242,geography,What colour is the leftmost stripe on the French flag? ,Blue 
28243,general_knowledge,Who sang 'born in the u.s.a',Bruce springsteen
28244,general_knowledge,What is the flower that stands for: boaster,Hydrangea
28245,general_knowledge,Who had hiccups for 69 years,Charles osborne
28246,general_knowledge,What first appeared in New York World 21st December 1913,Crossword
28247,entertainment_film,Before Olive Oil met Popeye she was engaged to someone.  Who was he?,Ham Gravy
28248,general_knowledge,"Who said ""No sex is better than bad sex""",Germaine Greer
28249,general_knowledge,After which creature is the Californian island of Alcatraz named,Pelican
28250,general_knowledge,"What is ""Magic"" Johnson's first name",Earvin
28251,general_knowledge,Where did the birkenhead sink,Danger point
28252,general_knowledge,In 1907 who was the first English writer win Nobel prize literature,Rudyard Kipling
28253,general_knowledge,Who sang the theme song in From Russia with Love,Matt Munroe
28254,celebrities,Who Was Famously Quoted As Saying 'The Only Thing She Wears In Bed Is Channel No.5' ,Marilyn Monroe 
28255,sports,California Dolls Is A Movie That Was Inspired By And Features Which Sport ,Wrestling 
28256,general_knowledge,In China what colour does the bride traditionally wear,Red
28257,general_knowledge,Computers - mhz stands for________,Megahertz
28258,science_nature,What is the heaviest snake?,Anaconda
28259,entertainment_video_games,Who is the Linux operating system named after ?,Linus Torvalds
28260,general_knowledge,Traditionally in what months should you not eat oysters,May to august
28261,general_knowledge,What is the capital of the seychelles,Victoria
28262,general_knowledge,On what book was 'three days of the condor' based,Six days of the condor
28263,general_knowledge,What is the fear of meteors known as,Meteorophobia
28264,general_knowledge,Which two vegetables are used in vichyssoise,Leek Potato
28265,food,Beef dish named after a 19th century Russian diplomat ,Stroganoff 
28266,general_knowledge,Frank Zappa was lead singer with which band,Mothers of invention
28267,general_knowledge,Coronation Street's Kabin is located in which street,Ross street
28268,food,What Does 'Vol-au-vent' Actually Mean In French ,Vol-Au-Vent Is French For 'Flying On The Wind' They Are Puff Pastry Cases 
28269,language,What is the first letter in the Greek alphabet?,Alpha
28270,food,Which spirit is used to fortify red wine in creating port? ,Brandy 
28271,general_knowledge,Who wrote 'a tale of two cities',Charles dickens
28272,entertainment_music,Which Saxophonist Was Known As Bird,Charlie Parker
28273,science_nature,What Is The Fluid Which Surrounds A Foetus Known As ,Aminiotic Fluid 
